"beta"	"gamma"	"sample_size"	"not_beta"	"not_gamma"	"not_r0"	"jitter_beta"	"jitter_gamma"	"jitter_r0"
0.3	0.2	131	0.279060171679263	0.17138886045719	1.62822817617699	0.282028108668452	0.173191310956533	1.62841950390476
0.4	0.05	200	0.418846312487579	0.0470864320239402	8.89526546149481	0.418176720173401	0.0470501796301376	8.88788785634181
0.4	0.1	195	0.379078256545641	0.0955434200991356	3.96760191494412	0.377161796401183	0.095004605311645	3.96993172240412
0.4	0.2	153	0.401067778545912	0.211388092814597	1.89730544046148	0.407171673695818	0.213523578152164	1.90691668442187
0.5	0.05	200	0.552163142944112	0.0555495451322486	9.94001195922593	0.555138399229361	0.0555929454722851	9.98577057778159
0.5	0.1	200	0.530348275366797	0.0977511362691822	5.42549473702638	0.532356030254953	0.0986232894797852	5.39787339342468
0.5	0.2	169	0.449140515529424	0.209860459466872	2.14018646804842	0.439841509676216	0.205914653967279	2.13603792251769
0.2	0.05	195	0.211607919685006	0.0497603166354581	4.25254367320924	0.210998508121206	0.0497145030490983	4.24420431021553
0.2	0.1	150	0.186813642015827	0.105842761027747	1.76501104281335	0.185763487866072	0.105092972035937	1.76761094740522
0.2	0.2	48	0.221535992087878	0.194831872654232	1.13706237624189	0.227150091677606	0.199758509173726	1.13712348283526
0.3	0.05	200	0.317757792497447	0.046391813243041	6.8494367924951	0.319648941385276	0.0464697078289953	6.87865184264894
0.3	0.1	191	0.307582900972749	0.107940810125768	2.84955153305194	0.30969805100966	0.108853201440236	2.84509823240885
0.3	0.2	124	0.30382337948658	0.196674796448003	1.5448007826814	0.302401274047473	0.19568694642967	1.54533186584398
0.4	0.05	200	0.394042190919214	0.0516124139317014	7.63463982600483	0.39631969502087	0.0517269745334317	7.66176059194656
0.4	0.1	199	0.393773441179369	0.0783643425443102	5.02490582316458	0.393329584281327	0.0782926297174997	5.02383922599819
0.4	0.2	168	0.395384917279652	0.185166742299931	2.13529121033631	0.391894755717455	0.18480928403315	2.12053608544449
0.5	0.05	200	0.485814160396277	0.0548588638185211	8.85570948030205	0.485140516725765	0.0549503982341795	8.82869883232264
0.5	0.1	200	0.546187913671449	0.100709185340281	5.42341705799689	0.544179471083677	0.100431398859068	5.41841971002819
0.5	0.2	185	0.605350621334426	0.210596102500492	2.87446260470567	0.602718814334708	0.208076968097037	2.89661474716236
0.2	0.05	198	0.21318730407241	0.0491112406906472	4.34090650275528	0.213011935185013	0.0491954497436156	4.32991132909923
